2020-10-04 17:34:11,081 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.001, task = hit/falsealarm
2020-10-04 17:34:11,599 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.001, task = miss/falsealarm
2020-10-04 17:34:11,599 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.001, task = correctreject/falsealarm
2020-10-04 17:34:13,140 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 2, C = 0.001, task = hit/falsealarm
2020-10-04 17:34:13,655 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 2, C = 0.001, task = miss/falsealarm
2020-10-04 17:34:13,655 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 2, C = 0.001, task = correctreject/falsealarm
2020-10-04 17:34:15,208 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 4, C = 0.001, task = hit/falsealarm
2020-10-04 17:34:15,283 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0005, task = hit/falsealarm
2020-10-04 17:34:15,290 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.003, task = hit/falsealarm
2020-10-04 17:34:15,730 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 4, C = 0.001, task = miss/falsealarm
2020-10-04 17:34:15,730 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 4, C = 0.001, task = correctreject/falsealarm
2020-10-04 17:34:15,805 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.003, task = miss/falsealarm
2020-10-04 17:34:15,805 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.003, task = correctreject/falsealarm
2020-10-04 17:34:15,810 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0005, task = miss/falsealarm
2020-10-04 17:34:15,810 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0005, task = correctreject/falsealarm
2020-10-04 17:34:17,340 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 2, C = 0.003, task = hit/falsealarm
2020-10-04 17:34:17,402 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 2, C = 0.0005, task = hit/falsealarm
2020-10-04 17:34:17,723 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 8, C = 0.001, task = hit/falsealarm
2020-10-04 17:34:17,855 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 2, C = 0.003, task = miss/falsealarm
2020-10-04 17:34:17,855 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 2, C = 0.003, task = correctreject/falsealarm
2020-10-04 17:34:17,959 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 2, C = 0.0005, task = miss/falsealarm
2020-10-04 17:34:17,959 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 2, C = 0.0005, task = correctreject/falsealarm
2020-10-04 17:34:17,994 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.005, task = hit/falsealarm
2020-10-04 17:34:18,243 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 8, C = 0.001, task = miss/falsealarm
2020-10-04 17:34:18,243 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 8, C = 0.001, task = correctreject/falsealarm
2020-10-04 17:34:18,513 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.005, task = miss/falsealarm
2020-10-04 17:34:18,513 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.005, task = correctreject/falsealarm
