2020-10-28 14:53:29,891 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1e-06, task = hit/falsealarm
2020-10-28 14:53:31,601 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1e-06, task = miss/falsealarm
2020-10-28 14:53:31,601 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1e-06, task = correctreject/falsealarm
2020-10-28 14:53:58,221 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = hit/falsealarm
2020-10-28 14:53:59,952 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = miss/falsealarm
2020-10-28 14:53:59,952 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = correctreject/falsealarm
2020-10-28 14:58:29,539 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = hit/miss
2020-10-28 14:58:32,138 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = miss/correctreject
2020-10-28 14:58:32,139 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = miss/falsealarm
2020-10-28 14:58:39,245 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = hit/miss
2020-10-28 14:58:42,320 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = miss/correctreject
2020-10-28 14:58:42,320 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = miss/falsealarm
2020-10-28 15:18:07,949 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1e-06, task = hit/falsealarm
2020-10-28 15:18:09,823 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1e-06, task = miss/falsealarm
2020-10-28 15:18:09,823 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1e-06, task = correctreject/falsealarm
2020-10-28 15:18:30,392 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = hit/falsealarm
2020-10-28 15:18:32,254 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = miss/falsealarm
2020-10-28 15:18:32,254 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = correctreject/falsealarm
2020-10-28 15:19:15,383 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1e-06, task = hit/falsealarm
2020-10-28 15:19:17,625 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1e-06, task = miss/falsealarm
2020-10-28 15:19:17,625 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 1e-06, task = correctreject/falsealarm
2020-10-28 15:19:41,993 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = hit/falsealarm
2020-10-28 15:19:44,133 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = miss/falsealarm
2020-10-28 15:19:44,133 : INFO : __main__ : no samples found, name = james_2018-09-20, seed = 1, C = 0.0001, task = correctreject/falsealarm
2020-10-28 15:22:17,770 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = hit/miss
2020-10-28 15:22:21,137 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = miss/correctreject
2020-10-28 15:22:21,137 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = miss/falsealarm
2020-10-28 15:22:44,362 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = hit/miss
2020-10-28 15:22:47,981 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = miss/correctreject
2020-10-28 15:22:47,981 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = miss/falsealarm
2020-10-28 15:23:54,812 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = hit/miss
2020-10-28 15:23:58,404 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = miss/correctreject
2020-10-28 15:23:58,404 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = miss/falsealarm
2020-10-28 15:24:21,674 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = hit/miss
2020-10-28 15:24:25,464 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = miss/correctreject
